StationId,date,event_count,total_abnormal_minutes,max_single_event_minutes,stopping_event_count,distinct_alarm_code_count,alarm_codes,alarm_descriptions,top_severity,first_event_time,last_event_time,health_label,summary_hint
2304510,2016-06-02,1,110,110,0,1,1001,Unknown alarm,ATTENTION,07:10,09:00,INFO,2016-06-02 turbine 2304510; 1 abnormal events; total abnormal duration 110 min; alarm codes: 1001; active window 07:10 to 09:00; health label: INFO
2304510,2016-06-04,1,150,150,0,1,3411,Unknown alarm,ATTENTION,05:20,07:50,ATTENTION,2016-06-04 turbine 2304510; 1 abnormal events; total abnormal duration 150 min; alarm codes: 3411; active window 05:20 to 07:50; health label: ATTENTION
2304510,2016-06-19,1,10,10,0,1,3411,Unknown alarm,INFO,05:20,05:30,INFO,2016-06-19 turbine 2304510; 1 abnormal events; total abnormal duration 10 min; alarm codes: 3411; active window 05:20 to 05:30; health label: INFO
2304510,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:20,13:20,ALARM,2016-06-23 turbine 2304510; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:20 to 13:20; health label: ALARM
2304510,2016-06-30,1,10,10,0,1,5113,Unknown alarm,INFO,05:00,05:10,INFO,2016-06-30 turbine 2304510; 1 abnormal events; total abnormal duration 10 min; alarm codes: 5113; active window 05:00 to 05:10; health label: INFO
2304511,2016-06-02,1,10,10,0,1,1001,Unknown alarm,INFO,09:20,09:30,INFO,2016-06-02 turbine 2304511; 1 abnormal events; total abnormal duration 10 min; alarm codes: 1001; active window 09:20 to 09:30; health label: INFO
2304511,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,14:50,14:50,ALARM,2016-06-23 turbine 2304511; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 14:50 to 14:50; health label: ALARM
2304511,2016-06-30,1,80,80,0,1,13400,Unknown alarm,ATTENTION,05:00,06:20,INFO,2016-06-30 turbine 2304511; 1 abnormal events; total abnormal duration 80 min; alarm codes: 13400; active window 05:00 to 06:20; health label: INFO
2304512,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:40,13:40,ALARM,2016-06-23 turbine 2304512; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:40 to 13:40; health label: ALARM
2304512,2016-06-30,1,60,60,0,1,3173,Unknown alarm,ATTENTION,05:00,06:00,INFO,2016-06-30 turbine 2304512; 1 abnormal events; total abnormal duration 60 min; alarm codes: 3173; active window 05:00 to 06:00; health label: INFO
2304513,2016-06-14,1,0,0,0,1,3413,Unknown alarm,INFO,05:20,05:20,INFO,2016-06-14 turbine 2304513; 1 abnormal events; total abnormal duration 0 min; alarm codes: 3413; active window 05:20 to 05:20; health label: INFO
2304513,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:30,13:30,ALARM,2016-06-23 turbine 2304513; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:30 to 13:30; health label: ALARM
2304513,2016-06-24,1,10,10,0,1,3412,Unknown alarm,INFO,05:20,05:30,INFO,2016-06-24 turbine 2304513; 1 abnormal events; total abnormal duration 10 min; alarm codes: 3412; active window 05:20 to 05:30; health label: INFO
2304513,2016-06-29,2,760,730,0,2,3173 | 64000,Unknown alarm,ATTENTION,13:50,04:50,ATTENTION,2016-06-29 turbine 2304513; 2 abnormal events; total abnormal duration 760 min; alarm codes: 3173 | 64000; active window 13:50 to 04:50; health label: ATTENTION
2304513,2016-06-30,2,940,520,0,2,3118 | 63027,Unknown alarm,ATTENTION,05:20,00:00,ATTENTION,2016-06-30 turbine 2304513; 2 abnormal events; total abnormal duration 940 min; alarm codes: 3118 | 63027; active window 05:20 to 00:00; health label: ATTENTION
2304514,2016-06-04,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-04 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-09,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-09 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-14,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-14 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-19,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-19 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:30,13:30,ALARM,2016-06-23 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:30 to 13:30; health label: ALARM
2304514,2016-06-24,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-24 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-29,1,0,0,1,1,3130,Pitch lubrication,ALARM,05:20,05:20,ALARM,2016-06-29 turbine 2304514; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 05:20 to 05:20; health label: ALARM
2304514,2016-06-30,1,60,60,0,1,9303,Unknown alarm,ATTENTION,05:00,06:00,INFO,2016-06-30 turbine 2304514; 1 abnormal events; total abnormal duration 60 min; alarm codes: 9303; active window 05:00 to 06:00; health label: INFO
2304515,2016-06-01,1,0,0,1,1,3130,Pitch lubrication,ALARM,08:40,08:40,ALARM,2016-06-01 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 08:40 to 08:40; health label: ALARM
2304515,2016-06-06,1,0,0,1,1,3130,Pitch lubrication,ALARM,08:40,08:40,ALARM,2016-06-06 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 08:40 to 08:40; health label: ALARM
2304515,2016-06-11,1,0,0,1,1,3130,Pitch lubrication,ALARM,08:40,08:40,ALARM,2016-06-11 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 08:40 to 08:40; health label: ALARM
2304515,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,10:20,10:20,ALARM,2016-06-16 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 10:20 to 10:20; health label: ALARM
2304515,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,10:20,10:20,ALARM,2016-06-21 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 10:20 to 10:20; health label: ALARM
2304515,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:30,13:30,ALARM,2016-06-23 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:30 to 13:30; health label: ALARM
2304515,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,10:20,10:20,ALARM,2016-06-26 turbine 2304515; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 10:20 to 10:20; health label: ALARM
2304515,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304515; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304516,2016-06-04,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-04 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-09,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-09 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-14,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-14 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-19,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-19 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:20,13:20,ALARM,2016-06-23 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:20 to 13:20; health label: ALARM
2304516,2016-06-24,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-24 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-29,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:00,07:00,ALARM,2016-06-29 turbine 2304516; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:00 to 07:00; health label: ALARM
2304516,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304516; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304517,2016-06-03,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:00,12:00,ALARM,2016-06-03 turbine 2304517; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:00 to 12:00; health label: ALARM
2304517,2016-06-08,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:00,12:00,ALARM,2016-06-08 turbine 2304517; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:00 to 12:00; health label: ALARM
