event_id,StationId,start_time,end_time,duration_min,rows,alarm_code_mode,alarm_description,stopping_alarm
1,2304510,2016-06-02 07:10:00,2016-06-02 09:00:00,110,12,1001,Unknown alarm,0
2,2304510,2016-06-04 05:20:00,2016-06-04 07:50:00,150,16,3411,Unknown alarm,0
3,2304510,2016-06-19 05:20:00,2016-06-19 05:30:00,10,2,3411,Unknown alarm,0
4,2304510,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1
5,2304510,2016-06-30 05:00:00,2016-06-30 05:10:00,10,2,5113,Unknown alarm,0
6,2304511,2016-06-02 09:20:00,2016-06-02 09:30:00,10,2,1001,Unknown alarm,0
7,2304511,2016-06-23 14:50:00,2016-06-23 14:50:00,0,1,10105,"Stopped, untwisting cables",1
8,2304511,2016-06-30 05:00:00,2016-06-30 06:20:00,80,9,13400,Unknown alarm,0
9,2304512,2016-06-23 13:40:00,2016-06-23 13:40:00,0,1,10105,"Stopped, untwisting cables",1
10,2304512,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3173,Unknown alarm,0
11,2304513,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3413,Unknown alarm,0
12,2304513,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1
13,2304513,2016-06-24 05:20:00,2016-06-24 05:30:00,10,2,3412,Unknown alarm,0
14,2304513,2016-06-29 13:50:00,2016-06-29 14:20:00,30,4,3173,Unknown alarm,0
15,2304513,2016-06-29 16:40:00,2016-06-30 04:50:00,730,74,64000,Unknown alarm,0
16,2304513,2016-06-30 05:20:00,2016-06-30 14:00:00,520,53,3118,Unknown alarm,0
17,2304513,2016-06-30 17:00:00,2016-07-01 00:00:00,420,43,63027,Unknown alarm,0
18,2304514,2016-06-04 05:20:00,2016-06-04 05:20:00,0,1,3130,Pitch lubrication,1
19,2304514,2016-06-09 05:20:00,2016-06-09 05:20:00,0,1,3130,Pitch lubrication,1
20,2304514,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3130,Pitch lubrication,1
21,2304514,2016-06-19 05:20:00,2016-06-19 05:20:00,0,1,3130,Pitch lubrication,1
22,2304514,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1
23,2304514,2016-06-24 05:20:00,2016-06-24 05:20:00,0,1,3130,Pitch lubrication,1
24,2304514,2016-06-29 05:20:00,2016-06-29 05:20:00,0,1,3130,Pitch lubrication,1
25,2304514,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,9303,Unknown alarm,0
26,2304515,2016-06-01 08:40:00,2016-06-01 08:40:00,0,1,3130,Pitch lubrication,1
27,2304515,2016-06-06 08:40:00,2016-06-06 08:40:00,0,1,3130,Pitch lubrication,1
28,2304515,2016-06-11 08:40:00,2016-06-11 08:40:00,0,1,3130,Pitch lubrication,1
29,2304515,2016-06-16 10:20:00,2016-06-16 10:20:00,0,1,3130,Pitch lubrication,1
30,2304515,2016-06-21 10:20:00,2016-06-21 10:20:00,0,1,3130,Pitch lubrication,1
31,2304515,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1
32,2304515,2016-06-26 10:20:00,2016-06-26 10:20:00,0,1,3130,Pitch lubrication,1
33,2304515,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0
34,2304516,2016-06-04 07:00:00,2016-06-04 07:00:00,0,1,3130,Pitch lubrication,1
35,2304516,2016-06-09 07:00:00,2016-06-09 07:00:00,0,1,3130,Pitch lubrication,1
36,2304516,2016-06-14 07:00:00,2016-06-14 07:00:00,0,1,3130,Pitch lubrication,1
37,2304516,2016-06-19 07:00:00,2016-06-19 07:00:00,0,1,3130,Pitch lubrication,1
38,2304516,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1
39,2304516,2016-06-24 07:00:00,2016-06-24 07:00:00,0,1,3130,Pitch lubrication,1
40,2304516,2016-06-29 07:00:00,2016-06-29 07:00:00,0,1,3130,Pitch lubrication,1
41,2304516,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0
42,2304517,2016-06-03 12:00:00,2016-06-03 12:00:00,0,1,3130,Pitch lubrication,1
43,2304517,2016-06-08 12:00:00,2016-06-08 12:00:00,0,1,3130,Pitch lubrication,1
44,2304517,2016-06-13 12:00:00,2016-06-13 12:00:00,0,1,3130,Pitch lubrication,1
45,2304517,2016-06-18 12:00:00,2016-06-18 12:00:00,0,1,3130,Pitch lubrication,1
46,2304517,2016-06-23 12:00:00,2016-06-23 12:00:00,0,1,3130,Pitch lubrication,1
47,2304517,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1
48,2304517,2016-06-28 12:00:00,2016-06-28 12:00:00,0,1,3130,Pitch lubrication,1
49,2304517,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3171,Unknown alarm,0
50,2304518,2016-06-01 08:40:00,2016-06-01 08:40:00,0,1,3130,Pitch lubrication,1
51,2304518,2016-06-06 08:40:00,2016-06-06 08:40:00,0,1,3130,Pitch lubrication,1
52,2304518,2016-06-11 08:40:00,2016-06-11 08:40:00,0,1,3130,Pitch lubrication,1
53,2304518,2016-06-16 08:40:00,2016-06-16 08:40:00,0,1,3130,Pitch lubrication,1
54,2304518,2016-06-21 08:40:00,2016-06-21 08:40:00,0,1,3130,Pitch lubrication,1
